session,trial,staircase,letter,response,correct,soa1,soa2
1,1,2,K,K,True,12,12
1,1,3,D,D,True,12,12
1,2,2,A,A,True,12,12
1,2,3,D,D,True,11,12
1,3,2,F,F,True,11,12
1,3,3,J,J,True,11,12
1,4,2,H,H,True,11,11
1,4,3,D,D,True,10,11
1,5,2,D,D,True,10,11
1,5,3,H,J,False,10,11
1,6,2,D,D,True,10,12
1,6,3,G,G,True,9,12
1,7,2,L,L,True,9,12
1,7,3,L,L,True,9,12
1,8,2,S,S,True,9,12
1,8,3,J,D,False,8,12
1,9,2,F,F,True,8,13
1,9,3,G,G,True,8,13
1,10,2,G,G,True,8,13
1,10,3,F,F,True,7,13
1,11,2,F,G,False,7,13
1,11,3,L,L,True,8,13
1,12,2,S,S,True,8,12
1,12,3,H,H,True,8,12
1,13,2,L,L,True,8,12
1,13,3,J,J,True,7,12
1,14,2,D,D,True,7,12
1,14,3,K,K,True,7,12
1,15,2,K,K,True,7,11
1,15,3,K,K,True,6,11
1,16,2,G,K,False,6,11
1,16,3,J,J,True,7,11
1,17,2,L,L,True,7,11
1,17,3,F,F,True,7,11
1,18,2,F,J,False,7,10
1,18,3,J,J,True,8,10
1,19,2,A,A,True,8,10
1,19,3,S,D,False,8,10
1,20,2,L,S,False,8,11
1,20,3,L,L,True,9,11
1,21,2,L,L,True,9,11
1,21,3,J,J,True,9,11
1,22,2,G,G,True,9,11
1,22,3,H,H,True,8,11
1,23,2,L,L,True,8,10
1,23,3,S,S,True,8,10
1,24,2,J,D,False,8,10
1,24,3,S,S,True,9,10
1,25,2,H,H,True,9,10
1,25,3,S,S,True,9,10
2,1,2,D,D,True,9,10
2,1,3,G,G,True,9,10
2,2,2,D,D,True,9,10
2,2,3,K,K,True,8,10
2,3,2,K,K,True,8,10
2,3,3,H,H,True,8,10
2,4,2,H,H,True,8,9
2,4,3,L,L,True,7,9
2,5,2,L,K,False,7,9
2,5,3,D,D,True,8,9
2,6,2,G,G,True,8,9
2,6,3,F,F,True,8,9
2,7,2,A,A,True,8,8
2,7,3,J,D,False,7,8
2,8,2,G,G,True,7,9
2,8,3,A,A,True,7,9
2,9,2,S,S,True,7,9
2,9,3,J,J,True,6,9
2,10,2,L,H,False,6,9
2,10,3,S,S,True,7,9
2,11,2,G,G,True,7,8
2,11,3,L,L,True,7,8
2,12,2,K,K,True,7,8
2,12,3,L,L,True,6,8
2,13,2,F,K,False,6,8
2,13,3,K,K,True,7,8
2,14,2,K,K,True,7,7
2,14,3,F,K,False,7,7
2,15,2,A,A,True,7,8
2,15,3,H,H,True,6,8
2,16,2,H,F,False,6,8
2,16,3,G,G,True,7,8
2,17,2,D,D,True,7,8
2,17,3,S,S,True,7,8
2,18,2,K,K,True,7,7
2,18,3,S,S,True,6,7
2,19,2,L,D,False,6,7
2,19,3,K,K,True,7,7
2,20,2,H,H,True,7,7
2,20,3,H,H,True,7,7
2,21,2,L,H,False,7,6
2,21,3,H,K,False,8,6
2,22,2,D,D,True,8,7
2,22,3,J,H,False,8,7
2,23,2,L,L,True,8,8
2,23,3,L,L,True,7,8
2,24,2,L,L,True,7,8
2,24,3,G,G,True,7,8
2,25,2,D,D,True,7,8
2,25,3,G,G,True,6,8
3,1,2,J,A,False,6,8
3,1,3,F,F,True,7,8
3,2,2,A,A,True,7,8
3,2,3,K,K,True,7,8
3,3,2,J,J,True,7,8
3,3,3,A,A,True,6,8
3,4,2,F,F,True,6,7
3,4,3,K,K,True,6,7
3,5,2,A,A,True,6,7
3,5,3,H,H,True,5,7
3,6,2,D,K,False,5,7
3,6,3,A,A,True,6,7
3,7,2,F,F,True,6,6
3,7,3,J,H,False,6,6
3,8,2,A,A,True,6,7
3,8,3,L,L,True,5,7
3,9,2,A,A,True,5,7
3,9,3,A,A,True,5,7
3,10,2,H,A,False,5,7
3,10,3,H,H,True,6,7
3,11,2,D,D,True,6,6
