session,trial,staircase,letter,response,correct,soa1,soa2
1,1,2,L,L,True,12,12
1,1,3,H,H,True,12,12
1,2,2,D,D,True,12,12
1,2,3,J,J,True,11,12
1,3,2,D,F,False,11,12
1,3,3,F,F,True,12,12
1,4,2,S,S,True,12,11
1,4,3,L,L,True,12,11
1,5,2,H,H,True,12,11
1,5,3,G,G,True,11,11
1,6,2,K,K,True,11,11
1,6,3,L,L,True,11,11
1,7,2,L,L,True,11,10
1,7,3,L,L,True,10,10
1,8,2,K,K,True,10,10
1,8,3,J,J,True,10,10
1,9,2,L,L,True,10,10
1,9,3,H,H,True,9,10
1,10,2,G,G,True,9,9
1,10,3,J,K,False,9,9
1,11,2,H,H,True,9,10
1,11,3,K,J,False,8,10
1,12,2,D,D,True,8,11
1,12,3,K,K,True,8,11
1,13,2,D,D,True,8,11
1,13,3,D,D,True,7,11
1,14,2,J,J,True,7,11
1,14,3,K,K,True,7,11
1,15,2,F,F,True,7,10
1,15,3,A,A,True,6,10
1,16,2,J,H,False,6,10
1,16,3,D,D,True,7,10
1,17,2,L,L,True,7,10
1,17,3,A,A,True,7,10
1,18,2,A,A,True,7,9
1,18,3,L,L,True,6,9
1,19,2,L,K,False,6,9
1,19,3,J,J,True,7,9
1,20,2,L,H,False,7,9
1,20,3,L,L,True,8,9
1,21,2,F,F,True,8,8
1,21,3,A,A,True,8,8
1,22,2,K,K,True,8,8
1,22,3,F,F,True,7,8
1,23,2,F,F,True,7,8
1,23,3,D,D,True,7,8
1,24,2,G,G,True,7,7
1,24,3,F,H,False,6,7
1,25,2,L,L,True,6,8
1,25,3,S,S,True,6,8
2,1,2,F,F,True,6,8
2,1,3,L,L,True,6,8
2,2,2,G,G,True,6,8
2,2,3,J,J,True,5,8
2,3,2,K,D,False,5,8
2,3,3,F,F,True,6,8
2,4,2,A,A,True,6,7
2,4,3,J,J,True,6,7
2,5,2,K,K,True,6,7
2,5,3,H,H,True,5,7
2,6,2,D,D,True,5,7
2,6,3,H,H,True,5,7
2,7,2,L,L,True,5,6
2,7,3,D,D,True,4,6
2,8,2,S,H,False,4,6
2,8,3,K,D,False,5,6
2,9,2,L,H,False,5,7
2,9,3,H,H,True,6,7
2,10,2,G,F,False,6,7
2,10,3,K,K,True,7,7
2,11,2,L,L,True,7,7
2,11,3,H,H,True,7,7
2,12,2,D,D,True,7,6
2,12,3,G,G,True,6,6
2,13,2,H,H,True,6,6
2,13,3,H,F,False,6,6
2,14,2,A,A,True,6,7
2,14,3,D,D,True,5,7
2,15,2,F,L,False,5,7
2,15,3,L,L,True,6,7
2,16,2,A,A,True,6,7
2,16,3,K,K,True,6,7
2,17,2,S,S,True,6,6
2,17,3,G,G,True,5,6
2,18,2,D,D,True,5,6
2,18,3,S,S,True,5,6
2,19,2,S,S,True,5,6
2,19,3,D,D,True,4,6
2,20,2,H,H,True,4,5
2,20,3,L,J,False,4,5
2,21,2,S,S,True,4,6
2,21,3,K,K,True,3,6
2,22,2,S,G,False,3,6
2,22,3,G,G,True,4,6
2,23,2,H,F,False,4,6
2,23,3,A,A,True,5,6
2,24,2,H,S,False,5,5
2,24,3,D,D,True,6,5
2,25,2,H,H,True,6,5
2,25,3,F,F,True,6,5
3,1,2,F,A,False,6,5
3,1,3,A,S,False,7,5
3,2,2,H,H,True,7,6
3,2,3,A,A,True,7,6
3,3,2,S,S,True,7,6
3,3,3,D,D,True,6,6
3,4,2,G,G,True,6,6
3,4,3,A,A,True,6,6
3,5,2,H,S,False,6,5
3,5,3,H,J,False,7,5
3,6,2,L,G,False,7,6
3,6,3,F,F,True,8,6
3,7,2,D,D,True,8,6
3,7,3,A,A,True,8,6
3,8,2,J,J,True,8,6
3,8,3,S,S,True,7,6
3,9,2,J,L,False,7,5
3,9,3,K,D,False,8,5
3,10,2,J,J,True,8,6
3,10,3,J,K,False,8,6
3,11,2,F,F,True,8,7
3,11,3,D,D,True,7,7
3,12,2,A,A,True,7,7
3,12,3,S,S,True,7,7
3,13,2,H,H,True,7,7
3,13,3,J,D,False,6,7
3,14,2,H,D,False,6,8
3,14,3,D,D,True,7,8
3,15,2,H,H,True,7,8
3,15,3,H,H,True,7,8
3,16,2,D,D,True,7,8
3,16,3,F,F,True,6,8
3,17,2,H,S,False,6,7
3,17,3,H,H,True,7,7
3,18,2,S,S,True,7,7
3,18,3,H,H,True,7,7
3,19,2,G,G,True,7,7
3,19,3,L,S,False,6,7
3,20,2,L,F,False,6,8
3,20,3,S,S,True,7,8
3,21,2,H,H,True,7,8
3,21,3,J,J,True,7,8
3,22,2,H,H,True,7,8
3,22,3,H,H,True,6,8
3,23,2,A,A,True,6,7
3,23,3,L,L,True,6,7
3,24,2,L,K,False,6,7
3,24,3,S,S,True,7,7
3,25,2,F,F,True,7,7
3,25,3,L,L,True,7,7
4,1,2,D,D,True,7,7
4,1,3,F,F,True,7,7
4,2,2,J,J,True,7,7
4,2,3,G,G,True,6,7
4,3,2,L,F,False,6,7
4,3,3,K,K,True,7,7
4,4,2,S,S,True,7,6
4,4,3,H,A,False,7,6
4,5,2,G,G,True,7,7
4,5,3,G,G,True,6,7
4,6,2,D,D,True,6,7
4,6,3,A,A,True,6,7
4,7,2,H,S,False,6,7
4,7,3,L,L,True,7,7
4,8,2,H,H,True,7,6
4,8,3,J,S,False,7,6
4,9,2,K,K,True,7,7
4,9,3,J,J,True,6,7
4,10,2,D,D,True,6,7
4,10,3,G,G,True,6,7
4,11,2,K,K,True,6,7
4,11,3,H,H,True,5,7
4,12,2,H,J,False,5,6
4,12,3,J,S,False,6,6
4,13,2,S,S,True,6,7
4,13,3,J,D,False,6,7
4,14,2,J,L,False,6,8
4,14,3,S,S,True,7,8
4,15,2,F,F,True,7,8
4,15,3,L,L,True,7,8
4,16,2,F,F,True,7,8
4,16,3,K,K,True,6,8
4,17,2,G,G,True,6,7
4,17,3,H,H,True,6,7
4,18,2,G,S,False,6,7
4,18,3,A,A,True,7,7
4,19,2,S,S,True,7,7
4,19,3,G,F,False,7,7
4,20,2,J,J,True,7,8
4,20,3,S,S,True,6,8
4,21,2,D,D,True,6,8
4,21,3,K,K,True,6,8
4,22,2,D,D,True,6,8
4,22,3,F,F,True,5,8
4,23,2,G,G,True,5,7
4,23,3,G,G,True,5,7
4,24,2,K,K,True,5,7
4,24,3,S,S,True,4,7
4,25,2,K,S,False,4,7
4,25,3,F,F,True,5,7
5,1,2,F,F,True,5,7
5,1,3,J,J,True,5,7
5,2,2,F,F,True,5,7
5,2,3,A,A,True,4,7
5,3,2,H,F,False,4,7
5,3,3,A,A,True,5,7
5,4,2,G,G,True,5,6
5,4,3,K,K,True,5,6
5,5,2,S,J,False,5,6
5,5,3,D,D,True,6,6
5,6,2,D,D,True,6,6
5,6,3,F,F,True,6,6
5,7,2,A,A,True,6,5
5,7,3,S,S,True,5,5
5,8,2,F,S,False,5,5
5,8,3,K,F,False,6,5
5,9,2,D,D,True,6,6
5,9,3,J,D,False,6,6
5,10,2,A,A,True,6,7
5,10,3,D,D,True,5,7
5,11,2,S,S,True,5,7
5,11,3,H,H,True,5,7
5,12,2,K,K,True,5,7
5,12,3,D,D,True,4,7
5,13,2,G,F,False,4,6
5,13,3,G,G,True,5,6
5,14,2,D,D,True,5,6
5,14,3,S,S,True,5,6
5,15,2,F,S,False,5,6
5,15,3,F,S,False,6,6
5,16,2,G,G,True,6,7
5,16,3,F,F,True,6,7
5,17,2,F,D,False,6,7
5,17,3,J,F,False,7,7
5,18,2,G,G,True,7,8
5,18,3,G,G,True,7,8
5,19,2,L,F,False,7,8
5,19,3,D,D,True,8,8
5,20,2,D,D,True,8,8
5,20,3,A,A,True,8,8
5,21,2,F,F,True,8,7
5,21,3,K,K,True,7,7
5,22,2,S,S,True,7,7
5,22,3,G,G,True,7,7
5,23,2,J,S,False,7,7
5,23,3,F,F,True,8,7
5,24,2,D,D,True,8,6
5,24,3,J,F,False,8,6
5,25,2,K,K,True,8,7
5,25,3,A,A,True,7,7
