session,trial,staircase,letter,response,correct,soa1,soa2
1,1,2,A,A,True,12,12
1,1,3,K,A,False,12,12
1,2,2,D,D,True,12,13
1,2,3,H,H,True,11,13
1,3,2,G,G,True,11,13
1,3,3,S,S,True,11,13
1,4,2,F,F,True,11,13
1,4,3,K,K,True,10,13
1,5,2,F,F,True,10,12
1,5,3,D,D,True,10,12
1,6,2,H,H,True,10,12
1,6,3,J,J,True,9,12
1,7,2,A,A,True,9,12
1,7,3,A,A,True,9,12
1,8,2,S,S,True,9,11
1,8,3,F,F,True,8,11
1,9,2,L,D,False,8,11
1,9,3,L,L,True,9,11
1,10,2,G,G,True,9,11
1,10,3,S,S,True,9,11
1,11,2,F,F,True,9,10
1,11,3,A,A,True,8,10
1,12,2,L,G,False,8,10
1,12,3,G,G,True,9,10
1,13,2,F,F,True,9,10
1,13,3,J,J,True,9,10
1,14,2,A,A,True,9,9
1,14,3,F,F,True,8,9
1,15,2,G,G,True,8,9
1,15,3,A,A,True,8,9
1,16,2,F,F,True,8,9
1,16,3,G,G,True,7,9
1,17,2,S,S,True,7,8
1,17,3,F,F,True,7,8
1,18,2,L,D,False,7,8
1,18,3,H,D,False,8,8
1,19,2,J,K,False,8,9
1,19,3,J,J,True,9,9
1,20,2,H,H,True,9,9
1,20,3,A,A,True,9,9
1,21,2,G,G,True,9,9
1,21,3,S,D,False,8,9
1,22,2,K,K,True,8,10
1,22,3,D,D,True,8,10
1,23,2,H,H,True,8,10
1,23,3,A,K,False,7,10
1,24,2,H,D,False,7,11
1,24,3,L,L,True,8,11
1,25,2,K,D,False,8,11
1,25,3,D,D,True,9,11
