session,trial,staircase,letter,response,correct,soa1,soa2
1,1,2,H,H,True,12,12
1,1,3,D,D,True,12,12
1,2,2,F,F,True,12,12
1,2,3,G,G,True,11,12
1,3,2,L,L,True,11,12
1,3,3,S,S,True,11,12
1,4,2,S,S,True,11,11
1,4,3,L,L,True,10,11
1,5,2,L,L,True,10,11
1,5,3,A,A,True,10,11
1,6,2,H,H,True,10,11
1,6,3,D,D,True,9,11
1,7,2,F,H,False,9,10
1,7,3,H,H,True,10,10
1,8,2,J,J,True,10,10
1,8,3,H,H,True,10,10
1,9,2,S,S,True,10,10
1,9,3,A,A,True,9,10
1,10,2,F,F,True,9,9
1,10,3,L,L,True,9,9
1,11,2,G,G,True,9,9
1,11,3,A,A,True,8,9
1,12,2,A,A,True,8,9
1,12,3,F,F,True,8,9
1,13,2,L,L,True,8,8
1,13,3,A,A,True,7,8
1,14,2,K,K,True,7,8
1,14,3,F,F,True,7,8
1,15,2,F,F,True,7,8
1,15,3,L,L,True,6,8
1,16,2,K,K,True,6,7
1,16,3,A,A,True,6,7
1,17,2,F,F,True,6,7
1,17,3,A,A,True,5,7
1,18,2,A,F,False,5,7
1,18,3,F,F,True,6,7
1,19,2,L,F,False,6,6
1,19,3,K,F,False,7,6
1,20,2,D,D,True,7,7
1,20,3,L,F,False,7,7
1,21,2,L,H,False,7,8
1,21,3,S,S,True,8,8
1,22,2,D,D,True,8,8
1,22,3,J,J,True,8,8
1,23,2,J,J,True,8,8
1,23,3,A,A,True,7,8
1,24,2,S,S,True,7,7
1,24,3,A,A,True,7,7
1,25,2,L,L,True,7,7
1,25,3,J,J,True,6,7
2,1,2,L,D,False,6,7
2,1,3,G,S,False,7,7
2,2,2,D,D,True,7,8
2,2,3,D,D,True,7,8
2,3,2,H,G,False,7,8
2,3,3,A,A,True,8,8
2,4,2,A,A,True,8,8
2,4,3,H,H,True,8,8
2,5,2,H,H,True,8,7
2,5,3,G,G,True,7,7
2,6,2,F,G,False,7,7
2,6,3,K,K,True,8,7
2,7,2,A,A,True,8,7
2,7,3,G,G,True,8,7
2,8,2,G,G,True,8,6
2,8,3,L,H,False,7,6
2,9,2,L,G,False,7,7
2,9,3,S,S,True,8,7
2,10,2,L,L,True,8,7
2,10,3,G,G,True,8,7
2,11,2,D,D,True,8,7
2,11,3,D,D,True,7,7
2,12,2,S,S,True,7,6
2,12,3,J,H,False,7,6
2,13,2,K,K,True,7,7
2,13,3,K,K,True,6,7
2,14,2,H,G,False,6,7
2,14,3,J,J,True,7,7
2,15,2,S,S,True,7,7
2,15,3,H,S,False,7,7
2,16,2,K,K,True,7,8
2,16,3,L,L,True,6,8
2,17,2,F,H,False,6,8
2,17,3,L,L,True,7,8
2,18,2,L,L,True,7,8
2,18,3,L,L,True,7,8
2,19,2,K,K,True,7,7
2,19,3,A,A,True,6,7
2,20,2,K,K,True,6,7
2,20,3,L,K,False,6,7
2,21,2,D,D,True,6,8
2,21,3,D,D,True,5,8
2,22,2,L,K,False,5,8
2,22,3,G,G,True,6,8
2,23,2,A,A,True,6,8
2,23,3,S,S,True,6,8
2,24,2,G,G,True,6,7
2,24,3,H,H,True,5,7
2,25,2,F,S,False,5,7
2,25,3,J,J,True,6,7
3,1,2,A,A,True,6,7
3,1,3,F,D,False,6,7
3,2,2,H,F,False,6,8
3,2,3,A,A,True,7,8
3,3,2,F,F,True,7,8
3,3,3,H,H,True,7,8
3,4,2,G,G,True,7,8
3,4,3,G,G,True,6,8
3,5,2,S,D,False,6,7
3,5,3,D,D,True,7,7
3,6,2,D,D,True,7,7
3,6,3,G,G,True,7,7
3,7,2,A,A,True,7,7
3,7,3,H,H,True,6,7
3,8,2,H,H,True,6,6
3,8,3,F,H,False,6,6
3,9,2,H,F,False,6,7
3,9,3,G,G,True,7,7
3,10,2,K,K,True,7,7
3,10,3,S,G,False,7,7
3,11,2,F,F,True,7,8
3,11,3,G,G,True,6,8
3,12,2,L,G,False,6,8
3,12,3,K,K,True,7,8
3,13,2,L,K,False,7,8
3,13,3,F,F,True,8,8
3,14,2,F,F,True,8,7
3,14,3,L,F,False,8,7
3,15,2,J,J,True,8,8
3,15,3,G,G,True,7,8
3,16,2,S,S,True,7,8
3,16,3,D,D,True,7,8
3,17,2,A,A,True,7,8
3,17,3,S,S,True,6,8
3,18,2,S,S,True,6,7
3,18,3,F,F,True,6,7
3,19,2,F,F,True,6,7
3,19,3,D,D,True,5,7
3,20,2,K,F,False,5,7
3,20,3,K,K,True,6,7
3,21,2,G,G,True,6,6
3,21,3,D,J,False,6,6
3,22,2,S,S,True,6,7
3,22,3,K,K,True,5,7
3,23,2,H,H,True,5,7
3,23,3,F,F,True,5,7
3,24,2,L,F,False,5,7
3,24,3,S,S,True,6,7
3,25,2,H,G,False,6,6
3,25,3,H,F,False,7,6
