session,trial,staircase,letter,response,correct,soa1,soa2
1,1,2,S,A,False,12,12
1,1,3,S,S,True,13,12
1,2,2,L,L,True,13,12
1,2,3,L,L,True,13,12
1,3,2,K,K,True,13,12
1,3,3,S,S,True,12,12
1,4,2,G,G,True,12,11
1,4,3,A,A,True,12,11
1,5,2,K,K,True,12,11
1,5,3,L,L,True,11,11
1,6,2,K,K,True,11,11
1,6,3,A,A,True,11,11
1,7,2,K,K,True,11,10
1,7,3,J,J,True,10,10
1,8,2,L,L,True,10,10
1,8,3,K,K,True,10,10
1,9,2,F,F,True,10,10
1,9,3,G,G,True,9,10
1,10,2,J,S,False,9,9
1,10,3,G,G,True,10,9
1,11,2,A,A,True,10,9
1,11,3,S,S,True,10,9
1,12,2,S,S,True,10,9
1,12,3,S,S,True,9,9
1,13,2,G,G,True,9,8
1,13,3,F,K,False,9,8
1,14,2,K,D,False,9,9
1,14,3,K,H,False,10,9
1,15,2,D,D,True,10,10
1,15,3,S,D,False,10,10
1,16,2,S,S,True,10,11
1,16,3,H,H,True,9,11
1,17,2,A,A,True,9,11
1,17,3,S,S,True,9,11
1,18,2,D,D,True,9,11
1,18,3,J,H,False,8,11
1,19,2,S,G,False,8,12
1,19,3,K,K,True,9,12
1,20,2,F,L,False,9,12
1,20,3,A,A,True,10,12
1,21,2,H,H,True,10,12
1,21,3,A,A,True,10,12
1,22,2,D,D,True,10,11
1,22,3,F,S,False,9,11
1,23,2,A,A,True,9,12
1,23,3,F,D,False,9,12
1,24,2,S,G,False,9,13
1,24,3,F,F,True,10,13
1,25,2,L,L,True,10,13
1,25,3,A,A,True,10,13
2,1,2,H,H,True,10,13
2,1,3,A,A,True,10,13
2,2,2,F,F,True,10,13
2,2,3,F,F,True,9,13
2,3,2,L,F,False,9,13
2,3,3,D,D,True,10,13
2,4,2,S,S,True,10,12
2,4,3,J,J,True,10,12
2,5,2,K,K,True,10,12
2,5,3,L,L,True,9,12
2,6,2,F,F,True,9,12
2,6,3,A,A,True,9,12
2,7,2,K,K,True,9,11
2,7,3,D,D,True,8,11
2,8,2,A,A,True,8,11
2,8,3,D,D,True,8,11
2,9,2,J,D,False,8,11
2,9,3,D,D,True,9,11
2,10,2,J,J,True,9,10
2,10,3,K,K,True,9,10
2,11,2,F,K,False,9,10
2,11,3,S,S,True,10,10
2,12,2,D,D,True,10,10
2,12,3,S,S,True,10,10
2,13,2,H,H,True,10,9
2,13,3,K,K,True,9,9
2,14,2,J,J,True,9,9
2,14,3,A,A,True,9,9
2,15,2,D,D,True,9,9
2,15,3,D,D,True,8,9
2,16,2,G,G,True,8,8
2,16,3,S,G,False,8,8
2,17,2,F,F,True,8,9
2,17,3,L,J,False,7,9
2,18,2,K,S,False,7,10
2,18,3,H,H,True,8,10
2,19,2,L,H,False,8,10
2,19,3,A,A,True,9,10
2,20,2,D,D,True,9,10
2,20,3,F,F,True,9,10
2,21,2,S,S,True,9,9
2,21,3,D,D,True,8,9
2,22,2,G,G,True,8,9
2,22,3,G,G,True,8,9
2,23,2,F,G,False,8,9
2,23,3,G,G,True,9,9
2,24,2,G,G,True,9,8
2,24,3,S,S,True,9,8
2,25,2,J,D,False,9,8
2,25,3,F,F,True,10,8
3,1,2,A,A,True,10,8
3,1,3,K,K,True,10,8
3,2,2,D,D,True,10,8
3,2,3,L,D,False,9,8
3,3,2,G,G,True,9,9
3,3,3,J,G,False,9,9
3,4,2,G,G,True,9,10
3,4,3,D,D,True,8,10
3,5,2,D,D,True,8,10
3,5,3,H,H,True,8,10
3,6,2,L,L,True,8,10
3,6,3,F,F,True,7,10
3,7,2,J,F,False,7,9
3,7,3,A,A,True,8,9
3,8,2,A,A,True,8,9
3,8,3,A,A,True,8,9
3,9,2,L,D,False,8,9
3,9,3,F,F,True,9,9
3,10,2,A,A,True,9,8
3,10,3,H,A,False,9,8
3,11,2,A,A,True,9,9
3,11,3,S,S,True,8,9
3,12,2,S,S,True,8,9
3,12,3,H,H,True,8,9
3,13,2,F,F,True,8,9
