session,trial,staircase,orientation,response,correct,soa1,soa2
1,1,2,left,left,True,12,12
1,1,3,right,right,True,12,12
1,2,2,left,left,True,12,12
1,2,3,left,right,False,11,12
1,3,2,right,right,True,11,13
1,3,3,right,left,False,11,13
1,4,2,left,left,True,11,14
1,4,3,left,left,True,10,14
1,5,2,right,right,True,10,14
1,5,3,left,left,True,10,14
1,6,2,left,left,True,10,14
1,6,3,right,left,False,9,14
1,7,2,right,right,True,9,15
1,7,3,left,left,True,9,15
1,8,2,left,left,True,9,15
1,8,3,right,left,False,8,15
1,9,2,left,left,True,8,16
1,9,3,right,left,False,8,16
1,10,2,right,left,False,8,17
1,10,3,left,left,True,9,17
1,11,2,right,left,False,9,17
1,11,3,right,right,True,10,17
1,12,2,right,right,True,10,17
1,12,3,right,left,False,10,17
1,13,2,left,left,True,10,18
1,13,3,left,left,True,9,18
1,14,2,right,left,False,9,18
1,14,3,left,right,False,10,18
1,15,2,right,left,False,10,19
1,15,3,right,left,False,11,19
1,16,2,left,left,True,11,20
1,16,3,right,right,True,11,20
1,17,2,right,left,False,11,20
1,17,3,right,right,True,12,20
1,18,2,right,right,True,12,20
1,18,3,left,left,True,12,20
1,19,2,left,left,True,12,19
1,19,3,right,right,True,11,19
1,20,2,right,left,False,11,19
1,20,3,right,right,True,12,19
1,21,2,right,right,True,12,19
1,21,3,right,left,False,12,19
1,22,2,left,left,True,12,20
1,22,3,right,right,True,11,20
1,23,2,left,left,True,11,20
1,23,3,right,right,True,11,20
1,24,2,left,left,True,11,20
1,24,3,right,right,True,10,20
1,25,2,left,left,True,10,19
1,25,3,left,left,True,10,19
2,1,2,right,left,False,10,19
2,1,3,left,left,True,11,19
2,2,2,left,left,True,11,19
2,2,3,left,left,True,11,19
2,3,2,right,right,True,11,19
2,3,3,right,right,True,10,19
2,4,2,right,right,True,10,18
2,4,3,right,right,True,10,18
2,5,2,left,right,False,10,18
2,5,3,right,right,True,11,18
2,6,2,left,left,True,11,18
2,6,3,right,right,True,11,18
2,7,2,left,left,True,11,17
2,7,3,left,left,True,10,17
2,8,2,right,right,True,10,17
2,8,3,left,left,True,10,17
2,9,2,left,left,True,10,17
2,9,3,right,left,False,9,17
2,10,2,left,left,True,9,18
2,10,3,left,left,True,9,18
2,11,2,left,left,True,9,18
2,11,3,right,left,False,8,18
2,12,2,right,left,False,8,19
2,12,3,left,right,False,9,19
2,13,2,left,left,True,9,20
2,13,3,right,right,True,9,20
2,14,2,right,right,True,9,20
2,14,3,right,right,True,8,20
2,15,2,left,left,True,8,20
2,15,3,left,right,False,8,20
2,16,2,left,left,True,8,21
2,16,3,right,right,True,7,21
2,17,2,right,left,False,7,21
2,17,3,right,right,True,8,21
2,18,2,right,right,True,8,21
2,18,3,right,left,False,8,21
2,19,2,right,right,True,8,22
2,19,3,right,right,True,7,22
2,20,2,left,left,True,7,22
2,20,3,left,left,True,7,22
2,21,2,right,right,True,7,22
2,21,3,left,right,False,6,22
2,22,2,right,left,False,6,23
2,22,3,left,left,True,7,23
2,23,2,right,right,True,7,23
2,23,3,right,right,True,7,23
2,24,2,left,left,True,7,23
2,24,3,right,right,True,6,23
2,25,2,right,left,False,6,22
2,25,3,left,left,True,7,22
3,1,2,left,left,True,7,22
3,1,3,left,left,True,7,22
3,2,2,left,right,False,7,22
3,2,3,left,left,True,8,22
3,3,2,right,right,True,8,22
3,3,3,left,left,True,8,22
3,4,2,right,right,True,8,21
3,4,3,left,left,True,7,21
3,5,2,left,right,False,7,21
3,5,3,left,left,True,8,21
3,6,2,right,right,True,8,21
3,6,3,left,left,True,8,21
3,7,2,left,left,True,8,20
3,7,3,left,left,True,7,20
3,8,2,right,right,True,7,20
3,8,3,left,left,True,7,20
3,9,2,right,right,True,7,20
3,9,3,left,left,True,6,20
3,10,2,right,right,True,6,19
3,10,3,right,left,False,6,19
3,11,2,right,left,False,6,20
3,11,3,left,right,False,7,20
3,12,2,left,left,True,7,21
3,12,3,right,right,True,7,21
3,13,2,right,left,False,7,21
3,13,3,left,left,True,8,21
3,14,2,right,right,True,8,21
3,14,3,left,left,True,8,21
3,15,2,right,right,True,8,20
3,15,3,right,left,False,7,20
3,16,2,right,right,True,7,21
3,16,3,right,right,True,7,21
3,17,2,left,left,True,7,21
3,17,3,right,right,True,6,21
3,18,2,left,right,False,6,21
3,18,3,right,left,False,7,21
3,19,2,right,left,False,7,22
3,19,3,left,left,True,8,22
3,20,2,right,right,True,8,22
3,20,3,left,left,True,8,22
3,21,2,right,left,False,8,22
3,21,3,left,right,False,9,22
3,22,2,right,right,True,9,23
3,22,3,right,right,True,9,23
3,23,2,left,left,True,9,23
3,23,3,right,right,True,8,23
3,24,2,right,left,False,8,23
3,24,3,right,right,True,9,23
3,25,2,left,left,True,9,22
3,25,3,right,right,True,9,22
4,1,2,right,left,False,9,22
4,1,3,right,left,False,10,22
4,2,2,left,left,True,10,23
4,2,3,left,left,True,10,23
4,3,2,left,left,True,10,23
4,3,3,right,right,True,9,23
4,4,2,left,left,True,9,23
4,4,3,right,right,True,9,23
4,5,2,left,left,True,9,22
4,5,3,left,left,True,8,22
4,6,2,left,left,True,8,22
4,6,3,left,right,False,8,22
4,7,2,left,left,True,8,23
4,7,3,left,left,True,7,23
4,8,2,left,left,True,7,23
4,8,3,right,right,True,7,23
4,9,2,left,right,False,7,23
4,9,3,left,left,True,8,23
4,10,2,left,left,True,8,22
4,10,3,left,left,True,8,22
4,11,2,right,right,True,8,22
4,11,3,right,right,True,7,22
4,12,2,right,left,False,7,22
4,12,3,left,right,False,8,22
4,13,2,right,left,False,8,23
4,13,3,left,left,True,9,23
4,14,2,right,right,True,9,23
4,14,3,right,right,True,9,23
4,15,2,right,left,False,9,23
4,15,3,right,right,True,10,23
4,16,2,right,left,False,10,22
4,16,3,left,right,False,11,22
4,17,2,right,right,True,11,23
4,17,3,left,left,True,11,23
4,18,2,right,right,True,11,23
4,18,3,right,right,True,10,23
4,19,2,right,left,False,10,23
4,19,3,left,left,True,11,23
4,20,2,right,left,False,11,22
4,20,3,right,right,True,12,22
4,21,2,left,left,True,12,22
4,21,3,right,right,True,12,22
4,22,2,right,left,False,12,22
