session,trial,staircase,letter,response,correct,alpha1,alpha2
1,1,2,J,J,True,0.15,0.15
1,1,3,D,F,False,0.15,0.15
1,2,2,K,K,True,0.15,0.16
1,2,3,G,G,True,0.14,0.16
1,3,2,D,F,False,0.14,0.16
1,3,3,A,K,False,0.15,0.16
1,4,2,K,K,True,0.15,0.17
1,4,3,H,H,True,0.15,0.17
1,5,2,F,F,True,0.15,0.17
1,5,3,J,J,True,0.14,0.17
1,6,2,H,H,True,0.14,0.17
1,6,3,G,G,True,0.14,0.17
1,7,2,H,L,False,0.14,0.16
1,7,3,H,L,False,0.15,0.16
1,8,2,H,H,True,0.15,0.17
1,8,3,H,H,True,0.15,0.17
1,9,2,G,L,False,0.15,0.17
1,9,3,A,D,False,0.16,0.17
1,10,2,H,H,True,0.16,0.18
1,10,3,S,S,True,0.16,0.18
1,11,2,G,K,False,0.16,0.18
1,11,3,S,K,False,0.17,0.18
1,12,2,A,A,True,0.17,0.19
1,12,3,S,S,True,0.17,0.19
1,13,2,K,K,True,0.17,0.19
1,13,3,H,H,True,0.16,0.19
1,14,2,S,A,False,0.16,0.19
1,14,3,J,L,False,0.17,0.19
1,15,2,L,J,False,0.17,0.2
1,15,3,H,H,True,0.18,0.2
1,16,2,F,A,False,0.18,0.2
1,16,3,F,F,True,0.19,0.2
1,17,2,G,G,True,0.19,0.2
1,17,3,K,K,True,0.19,0.2
1,18,2,H,H,True,0.19,0.19
1,18,3,A,A,True,0.18,0.19
1,19,2,H,S,False,0.18,0.19
1,19,3,D,D,True,0.19,0.19
1,20,2,L,L,True,0.19,0.19
1,20,3,L,J,False,0.19,0.19
1,21,2,F,F,True,0.19,0.2
1,21,3,A,A,True,0.18,0.2
1,22,2,F,F,True,0.18,0.2
1,22,3,J,J,True,0.18,0.2
1,23,2,G,G,True,0.18,0.2
1,23,3,H,H,True,0.17,0.2
1,24,2,K,K,True,0.17,0.19
1,24,3,A,A,True,0.17,0.19
1,25,2,F,S,False,0.17,0.19
1,25,3,H,J,False,0.18,0.19
2,1,2,L,L,True,0.18,0.19
2,1,3,K,K,True,0.18,0.19
2,2,2,S,S,True,0.18,0.19
2,2,3,L,L,True,0.17,0.19
2,3,2,F,L,False,0.17,0.19
2,3,3,G,G,True,0.18,0.19
2,4,2,L,L,True,0.18,0.18
2,4,3,G,G,True,0.18,0.18
2,5,2,F,F,True,0.18,0.18
2,5,3,F,F,True,0.17,0.18
2,6,2,K,K,True,0.17,0.18
2,6,3,J,J,True,0.17,0.18
2,7,2,J,J,True,0.17,0.17
2,7,3,G,G,True,0.16,0.17
2,8,2,D,D,True,0.16,0.17
2,8,3,F,F,True,0.16,0.17
2,9,2,K,K,True,0.16,0.17
2,9,3,A,A,True,0.15,0.17
2,10,2,D,D,True,0.15,0.16
2,10,3,J,J,True,0.15,0.16
2,11,2,A,A,True,0.15,0.16
2,11,3,D,D,True,0.14,0.16
2,12,2,H,F,False,0.14,0.16
2,12,3,L,L,True,0.15,0.16
2,13,2,S,S,True,0.15,0.15
2,13,3,F,F,True,0.15,0.15
2,14,2,F,F,True,0.15,0.15
2,14,3,S,S,True,0.14,0.15
2,15,2,K,K,True,0.14,0.15
2,15,3,D,D,True,0.14,0.15
2,16,2,G,G,True,0.14,0.14
2,16,3,D,D,True,0.13,0.14
2,17,2,H,H,True,0.13,0.14
2,17,3,H,H,True,0.13,0.14
2,18,2,G,G,True,0.13,0.14
2,18,3,G,G,True,0.12,0.14
2,19,2,G,G,True,0.12,0.13
2,19,3,L,F,False,0.12,0.13
2,20,2,D,D,True,0.12,0.14
