session,trial,staircase,letter,response,correct,alpha1,alpha2
1,1,2,D,D,True,0.15,0.15
1,1,3,D,D,True,0.15,0.15
1,2,2,L,D,False,0.15,0.15
1,2,3,J,D,False,0.16,0.15
1,3,2,J,J,True,0.16,0.16
1,3,3,S,S,True,0.16,0.16
1,4,2,K,K,True,0.16,0.16
1,4,3,A,A,True,0.15,0.16
1,5,2,J,J,True,0.15,0.16
1,5,3,S,S,True,0.15,0.16
1,6,2,G,G,True,0.15,0.15
1,6,3,S,S,True,0.14,0.15
1,7,2,H,H,True,0.14,0.15
1,7,3,A,A,True,0.14,0.15
1,8,2,H,H,True,0.14,0.15
1,8,3,S,S,True,0.13,0.15
1,9,2,G,G,True,0.13,0.14
1,9,3,K,K,True,0.13,0.14
1,10,2,G,G,True,0.13,0.14
1,10,3,K,K,True,0.12,0.14
1,11,2,A,A,True,0.12,0.14
1,11,3,J,J,True,0.12,0.14
1,12,2,K,K,True,0.12,0.13
1,12,3,A,A,True,0.11,0.13
1,13,2,K,K,True,0.11,0.13
1,13,3,A,A,True,0.11,0.13
1,14,2,S,S,True,0.11,0.13
1,14,3,S,S,True,0.1,0.13
1,15,2,S,D,False,0.1,0.12
1,15,3,F,F,True,0.11,0.12
1,16,2,G,G,True,0.11,0.12
1,16,3,D,S,False,0.11,0.12
1,17,2,D,D,True,0.11,0.13
1,17,3,D,D,True,0.1,0.13
1,18,2,F,F,True,0.1,0.13
1,18,3,G,G,True,0.1,0.13
1,19,2,A,K,False,0.1,0.13
1,19,3,F,F,True,0.11,0.13
1,20,2,D,D,True,0.11,0.12
1,20,3,S,S,True,0.11,0.12
1,21,2,D,D,True,0.11,0.12
1,21,3,L,D,False,0.1,0.12
1,22,2,L,L,True,0.1,0.13
1,22,3,S,S,True,0.1,0.13
1,23,2,D,F,False,0.1,0.13
1,23,3,L,L,True,0.11,0.13
1,24,2,K,K,True,0.11,0.13
1,24,3,H,H,True,0.11,0.13
1,25,2,J,J,True,0.11,0.12
1,25,3,F,F,True,0.1,0.12
2,1,2,K,K,True,0.1,0.12
2,1,3,A,A,True,0.1,0.12
2,2,2,D,D,True,0.1,0.12
2,2,3,H,F,False,0.09,0.12
2,3,2,S,H,False,0.09,0.13
2,3,3,H,H,True,0.1,0.13
2,4,2,F,F,True,0.1,0.13
2,4,3,A,A,True,0.1,0.13
2,5,2,K,K,True,0.1,0.13
2,5,3,K,K,True,0.09,0.13
2,6,2,S,A,False,0.09,0.12
2,6,3,S,S,True,0.1,0.12
2,7,2,K,K,True,0.1,0.12
2,7,3,F,H,False,0.1,0.12
2,8,2,F,K,False,0.1,0.13
2,8,3,F,K,False,0.11,0.13
2,9,2,H,H,True,0.11,0.14
2,9,3,F,F,True,0.11,0.14
2,10,2,G,G,True,0.11,0.14
2,10,3,S,S,True,0.1,0.14
2,11,2,S,S,True,0.1,0.14
2,11,3,D,D,True,0.1,0.14
2,12,2,K,K,True,0.1,0.13
2,12,3,G,G,True,0.09,0.13
2,13,2,A,A,True,0.09,0.13
2,13,3,G,G,True,0.09,0.13
2,14,2,D,D,True,0.09,0.13
2,14,3,S,S,True,0.08,0.13
2,15,2,K,K,True,0.08,0.12
2,15,3,A,A,True,0.08,0.12
2,16,2,J,K,False,0.08,0.12
2,16,3,L,K,False,0.09,0.12
2,17,2,S,S,True,0.09,0.13
2,17,3,H,H,True,0.09,0.13
2,18,2,S,S,True,0.09,0.13
2,18,3,L,H,False,0.08,0.13
2,19,2,D,K,False,0.08,0.14
2,19,3,S,S,True,0.09,0.14
2,20,2,S,S,True,0.09,0.14
2,20,3,H,H,True,0.09,0.14
2,21,2,L,F,False,0.09,0.14
2,21,3,A,A,True,0.1,0.14
2,22,2,K,K,True,0.1,0.13
2,22,3,G,G,True,0.1,0.13
2,23,2,H,H,True,0.1,0.13
2,23,3,L,L,True,0.09,0.13
2,24,2,L,L,True,0.09,0.13
2,24,3,A,A,True,0.09,0.13
2,25,2,D,D,True,0.09,0.12
2,25,3,L,L,True,0.08,0.12
3,1,2,A,A,True,0.08,0.12
3,1,3,S,S,True,0.08,0.12
3,2,2,D,D,True,0.08,0.12
3,2,3,L,D,False,0.07,0.12
3,3,2,D,D,True,0.07,0.13
3,3,3,G,G,True,0.07,0.13
3,4,2,K,K,True,0.07,0.13
3,4,3,J,K,False,0.06,0.13
3,5,2,H,G,False,0.06,0.14
3,5,3,L,L,True,0.07,0.14
3,6,2,S,K,False,0.07,0.14
3,6,3,H,H,True,0.08,0.14
3,7,2,D,D,True,0.08,0.14
3,7,3,G,G,True,0.08,0.14
3,8,2,D,D,True,0.08,0.13
3,8,3,S,S,True,0.07,0.13
3,9,2,J,D,False,0.07,0.13
3,9,3,J,J,True,0.08,0.13
3,10,2,F,J,False,0.08,0.13
3,10,3,A,A,True,0.09,0.13
3,11,2,G,G,True,0.09,0.12
3,11,3,L,L,True,0.09,0.12
3,12,2,J,J,True,0.09,0.12
3,12,3,K,K,True,0.08,0.12
3,13,2,D,G,False,0.08,0.12
3,13,3,H,H,True,0.09,0.12
3,14,2,J,J,True,0.09,0.11
3,14,3,D,D,True,0.09,0.11
3,15,2,K,K,True,0.09,0.11
3,15,3,J,D,False,0.08,0.11
3,16,2,F,G,False,0.08,0.12
3,16,3,K,K,True,0.09,0.12
3,17,2,L,G,False,0.09,0.12
3,17,3,J,J,True,0.1,0.12
3,18,2,H,K,False,0.1,0.12
3,18,3,L,L,True,0.11,0.12
3,19,2,J,J,True,0.11,0.11
3,19,3,K,K,True,0.11,0.11
3,20,2,L,L,True,0.11,0.11
3,20,3,L,K,False,0.1,0.11
3,21,2,H,K,False,0.1,0.12
3,21,3,H,H,True,0.11,0.12
3,22,2,D,D,True,0.11,0.12
3,22,3,L,L,True,0.11,0.12
3,23,2,L,L,True,0.11,0.12
3,23,3,J,J,True,0.1,0.12
3,24,2,D,D,True,0.1,0.11
3,24,3,D,D,True,0.1,0.11
3,25,2,G,G,True,0.1,0.11
3,25,3,K,K,True,0.09,0.11
4,1,2,L,A,False,0.09,0.11
4,1,3,J,J,True,0.1,0.11
4,2,2,G,G,True,0.1,0.11
4,2,3,L,H,False,0.1,0.11
4,3,2,A,A,True,0.1,0.12
4,3,3,K,K,True,0.09,0.12
4,4,2,A,A,True,0.09,0.12
4,4,3,A,A,True,0.09,0.12
4,5,2,D,D,True,0.09,0.12
4,5,3,J,J,True,0.08,0.12
4,6,2,G,A,False,0.08,0.11
4,6,3,H,H,True,0.09,0.11
4,7,2,G,G,True,0.09,0.11
4,7,3,G,G,True,0.09,0.11
4,8,2,L,L,True,0.09,0.11
4,8,3,S,S,True,0.08,0.11
4,9,2,L,H,False,0.08,0.1
4,9,3,G,G,True,0.09,0.1
4,10,2,S,G,False,0.09,0.1
4,10,3,F,H,False,0.1,0.1
4,11,2,S,S,True,0.1,0.11
4,11,3,G,G,True,0.1,0.11
4,12,2,J,J,True,0.1,0.11
4,12,3,L,G,False,0.09,0.11
4,13,2,K,K,True,0.09,0.12
4,13,3,A,A,True,0.09,0.12
4,14,2,H,K,False,0.09,0.12
4,14,3,G,G,True,0.1,0.12
4,15,2,F,L,False,0.1,0.12
4,15,3,A,A,True,0.11,0.12
4,16,2,H,H,True,0.11,0.11
