session,trial,staircase,orientation,response,correct,contrast1,contrast2
1,1,2,left,left,True,0.6,0.6
1,1,3,left,left,True,0.6,0.6
1,2,2,left,left,True,0.6,0.6
1,2,3,right,right,True,0.55,0.6
1,3,2,left,right,False,0.55,0.6
1,3,3,left,left,True,0.6,0.6
1,4,2,left,left,True,0.6,0.55
1,4,3,left,left,True,0.6,0.55
1,5,2,right,right,True,0.6,0.55
1,5,3,left,left,True,0.55,0.55
1,6,2,right,right,True,0.55,0.55
1,6,3,right,right,True,0.55,0.55
1,7,2,right,right,True,0.55,0.5
1,7,3,right,right,True,0.5,0.5
1,8,2,left,left,True,0.5,0.5
1,8,3,left,left,True,0.5,0.5
1,9,2,right,left,False,0.5,0.5
1,9,3,left,left,True,0.55,0.5
1,10,2,left,left,True,0.55,0.45
1,10,3,left,left,True,0.55,0.45
1,11,2,right,right,True,0.55,0.45
1,11,3,right,right,True,0.5,0.45
1,12,2,left,left,True,0.5,0.45
1,12,3,left,left,True,0.5,0.45
1,13,2,left,left,True,0.5,0.4
1,13,3,left,left,True,0.45,0.4
1,14,2,left,left,True,0.45,0.4
1,14,3,left,left,True,0.45,0.4
1,15,2,left,left,True,0.45,0.4
1,15,3,right,right,True,0.4,0.4
1,16,2,left,left,True,0.4,0.35
1,16,3,right,right,True,0.4,0.35
1,17,2,left,left,True,0.4,0.35
1,17,3,left,left,True,0.35,0.35
1,18,2,right,right,True,0.35,0.35
1,18,3,right,right,True,0.35,0.35
1,19,2,right,right,True,0.35,0.3
1,19,3,left,left,True,0.3,0.3
1,20,2,right,right,True,0.3,0.3
1,20,3,left,left,True,0.3,0.3
1,21,2,right,right,True,0.3,0.3
1,21,3,right,right,True,0.25,0.3
1,22,2,left,left,True,0.25,0.25
1,22,3,right,left,False,0.25,0.25
1,23,2,left,right,False,0.25,0.3
1,23,3,right,right,True,0.3,0.3
1,24,2,right,right,True,0.3,0.3
1,24,3,right,left,False,0.3,0.3
1,25,2,right,right,True,0.3,0.35
1,25,3,right,right,True,0.25,0.35
