session,trial,staircase,orientation,response,correct,diff1,diff2
1,1,2,left,left,True,15,15
1,1,3,right,right,True,15,15
1,2,2,right,right,True,15,15
1,2,3,left,left,True,14,15
1,3,2,right,right,True,14,15
1,3,3,left,left,True,14,15
1,4,2,left,right,False,14,14
1,4,3,right,right,True,15,14
1,5,2,right,right,True,15,14
1,5,3,right,right,True,15,14
1,6,2,left,left,True,15,14
1,6,3,right,right,True,14,14
1,7,2,left,left,True,14,13
1,7,3,right,right,True,14,13
1,8,2,left,right,False,14,13
1,8,3,right,right,True,15,13
1,9,2,right,right,True,15,13
1,9,3,left,left,True,15,13
1,10,2,left,left,True,15,12
1,10,3,right,right,True,14,12
1,11,2,left,left,True,14,12
1,11,3,right,right,True,14,12
1,12,2,left,left,True,14,12
1,12,3,left,left,True,13,12
1,13,2,left,right,False,13,11
1,13,3,left,left,True,14,11
1,14,2,right,right,True,14,11
1,14,3,left,left,True,14,11
1,15,2,right,right,True,14,11
1,15,3,left,right,False,13,11
1,16,2,right,right,True,13,12
1,16,3,right,right,True,13,12
1,17,2,right,right,True,13,12
1,17,3,left,right,False,12,12
1,18,2,left,left,True,12,13
1,18,3,left,left,True,12,13
1,19,2,left,left,True,12,13
1,19,3,left,right,False,11,13
1,20,2,right,right,True,11,14
1,20,3,right,right,True,11,14
1,21,2,right,left,False,11,14
1,21,3,left,left,True,12,14
1,22,2,left,left,True,12,14
1,22,3,right,right,True,12,14
1,23,2,left,left,True,12,13
1,23,3,left,left,True,11,13
1,24,2,right,right,True,11,13
1,24,3,right,left,False,11,13
1,25,2,right,right,True,11,14
1,25,3,right,left,False,10,14
2,1,2,left,left,True,10,14
2,1,3,left,right,False,10,14
2,2,2,right,right,True,10,15
2,2,3,left,right,False,9,15
2,3,2,left,left,True,9,16
2,3,3,left,right,False,9,16
2,4,2,right,left,False,9,17
2,4,3,right,right,True,10,17
2,5,2,right,right,True,10,17
2,5,3,left,left,True,10,17
2,6,2,right,right,True,10,17
2,6,3,left,left,True,9,17
2,7,2,left,right,False,9,16
2,7,3,left,left,True,10,16
2,8,2,left,left,True,10,16
2,8,3,left,left,True,10,16
2,9,2,right,right,True,10,16
2,9,3,right,right,True,9,16
2,10,2,right,right,True,9,15
2,10,3,right,left,False,9,15
2,11,2,left,right,False,9,16
2,11,3,right,right,True,10,16
2,12,2,right,left,False,10,16
2,12,3,left,right,False,11,16
2,13,2,left,right,False,11,17
2,13,3,left,left,True,12,17
2,14,2,right,right,True,12,17
2,14,3,right,left,False,12,17
2,15,2,left,right,False,12,18
2,15,3,left,left,True,13,18
2,16,2,right,right,True,13,18
2,16,3,left,left,True,13,18
2,17,2,left,right,False,13,18
2,17,3,left,left,True,14,18
2,18,2,left,left,True,14,17
2,18,3,right,right,True,14,17
2,19,2,right,left,False,14,17
2,19,3,left,right,False,15,17
2,20,2,left,left,True,15,18
2,20,3,left,left,True,15,18
2,21,2,right,right,True,15,18
2,21,3,left,right,False,14,18
2,22,2,left,left,True,14,19
2,22,3,right,left,False,14,19
2,23,2,left,left,True,14,20
2,23,3,right,right,True,13,20
2,24,2,left,left,True,13,20
2,24,3,right,right,True,13,20
2,25,2,left,right,False,13,20
2,25,3,left,left,True,14,20
3,1,2,left,left,True,14,20
3,1,3,left,left,True,14,20
3,2,2,left,right,False,14,20
3,2,3,right,right,True,15,20
3,3,2,left,left,True,15,20
3,3,3,left,right,False,15,20
3,4,2,left,left,True,15,21
3,4,3,right,right,True,14,21
3,5,2,right,left,False,14,21
3,5,3,left,right,False,15,21
3,6,2,left,left,True,15,22
3,6,3,left,left,True,15,22
3,7,2,right,left,False,15,22
3,7,3,right,right,True,16,22
3,8,2,left,left,True,16,22
3,8,3,left,left,True,16,22
3,9,2,left,right,False,16,21
3,9,3,left,left,True,17,21
3,10,2,right,right,True,17,21
3,10,3,right,right,True,17,21
3,11,2,right,right,True,17,21
3,11,3,left,left,True,16,21
3,12,2,left,left,True,16,20
3,12,3,right,right,True,16,20
3,13,2,right,left,False,16,20
3,13,3,left,right,False,17,20
3,14,2,left,left,True,17,21
3,14,3,left,right,False,17,21
3,15,2,left,right,False,17,22
3,15,3,left,left,True,18,22
3,16,2,left,left,True,18,22
3,16,3,right,right,True,18,22
3,17,2,left,left,True,18,22
3,17,3,left,left,True,17,22
3,18,2,right,right,True,17,21
3,18,3,right,right,True,17,21
3,19,2,right,right,True,17,21
3,19,3,right,right,True,16,21
3,20,2,left,left,True,16,21
3,20,3,right,right,True,16,21
3,21,2,left,left,True,16,20
3,21,3,left,right,False,15,20
3,22,2,right,left,False,15,21
3,22,3,right,right,True,16,21
3,23,2,left,left,True,16,21
3,23,3,left,left,True,16,21
3,24,2,left,left,True,16,21
3,24,3,left,left,True,15,21
3,25,2,left,left,True,15,20
3,25,3,right,right,True,15,20
4,1,2,right,right,True,15,20
4,1,3,right,right,True,15,20
4,2,2,right,right,True,15,20
4,2,3,left,right,False,14,20
4,3,2,left,right,False,14,21
4,3,3,left,left,True,15,21
4,4,2,right,left,False,15,21
4,4,3,right,right,True,16,21
4,5,2,left,right,False,16,21
4,5,3,left,left,True,17,21
4,6,2,left,left,True,17,20
4,6,3,right,right,True,17,20
4,7,2,right,right,True,17,20
4,7,3,left,left,True,16,20
4,8,2,left,left,True,16,20
4,8,3,right,right,True,16,20
4,9,2,left,left,True,16,19
4,9,3,left,left,True,15,19
4,10,2,left,left,True,15,19
4,10,3,left,left,True,15,19
4,11,2,left,left,True,15,19
4,11,3,right,right,True,14,19
4,12,2,right,left,False,14,18
4,12,3,right,right,True,15,18
4,13,2,left,left,True,15,18
4,13,3,left,left,True,15,18
4,14,2,right,right,True,15,18
4,14,3,left,left,True,14,18
4,15,2,right,right,True,14,17
4,15,3,right,right,True,14,17
4,16,2,left,left,True,14,17
4,16,3,right,right,True,13,17
4,17,2,left,left,True,13,17
4,17,3,left,left,True,13,17
4,18,2,left,left,True,13,16
4,18,3,right,left,False,12,16
4,19,2,right,right,True,12,17
4,19,3,left,left,True,12,17
4,20,2,left,left,True,12,17
4,20,3,right,right,True,11,17
4,21,2,right,right,True,11,17
4,21,3,right,right,True,11,17
4,22,2,right,left,False,11,16
4,22,3,left,right,False,12,16
4,23,2,right,right,True,12,17
4,23,3,right,right,True,12,17
4,24,2,left,left,True,12,17
4,24,3,left,right,False,11,17
4,25,2,right,left,False,11,18
4,25,3,right,right,True,12,18
5,1,2,right,left,False,12,18
5,1,3,left,right,False,13,18
5,2,2,left,left,True,13,19
5,2,3,right,right,True,13,19
5,3,2,left,left,True,13,19
5,3,3,right,right,True,12,19
5,4,2,left,left,True,12,19
5,4,3,right,right,True,12,19
5,5,2,right,right,True,12,18
5,5,3,left,left,True,11,18
5,6,2,right,right,True,11,18
5,6,3,right,right,True,11,18
5,7,2,right,left,False,11,18
5,7,3,right,right,True,12,18
5,8,2,right,left,False,12,17
5,8,3,left,right,False,13,17
5,9,2,right,right,True,13,18
5,9,3,left,left,True,13,18
5,10,2,left,right,False,13,18
5,10,3,left,left,True,14,18
5,11,2,right,right,True,14,18
5,11,3,left,left,True,14,18
5,12,2,right,right,True,14,17
5,12,3,left,right,False,13,17
5,13,2,left,left,True,13,18
5,13,3,right,right,True,13,18
5,14,2,right,right,True,13,18
5,14,3,right,right,True,12,18
5,15,2,left,right,False,12,18
5,15,3,right,right,True,13,18
5,16,2,right,right,True,13,17
5,16,3,right,right,True,13,17
5,17,2,right,right,True,13,17
5,17,3,left,left,True,12,17
5,18,2,right,right,True,12,17
5,18,3,left,right,False,12,17
5,19,2,left,left,True,12,18
5,19,3,right,right,True,11,18
5,20,2,right,right,True,11,18
5,20,3,left,right,False,11,18
5,21,2,left,left,True,11,19
5,21,3,right,right,True,10,19
5,22,2,right,right,True,10,19
5,22,3,right,right,True,10,19
5,23,2,left,left,True,10,19
5,23,3,left,left,True,9,19
5,24,2,left,right,False,9,18
5,24,3,right,right,True,10,18
5,25,2,left,right,False,10,18
5,25,3,left,right,False,11,18
