session,trial,staircase,orientation,response,correct,diff1,diff2
1,1,2,right,left,False,15,15
1,1,3,left,left,True,16,15
1,2,2,left,right,False,16,15
1,2,3,right,left,False,17,15
1,3,2,left,right,False,17,16
1,3,3,right,left,False,18,16
1,4,2,right,left,False,18,17
1,4,3,right,right,True,19,17
1,5,2,right,right,True,19,17
1,5,3,right,right,True,19,17
1,6,2,left,left,True,19,17
1,6,3,right,left,False,18,17
1,7,2,left,left,True,18,18
1,7,3,left,right,False,18,18
1,8,2,left,left,True,18,19
1,8,3,right,right,True,17,19
1,9,2,right,right,True,17,19
1,9,3,right,left,False,17,19
1,10,2,left,right,False,17,20
1,10,3,left,left,True,18,20
1,11,2,right,right,True,18,20
1,11,3,left,left,True,18,20
1,12,2,right,left,False,18,20
1,12,3,left,right,False,19,20
1,13,2,left,right,False,19,21
1,13,3,left,left,True,20,21
1,14,2,right,right,True,20,21
1,14,3,left,left,True,20,21
1,15,2,right,left,False,20,21
1,15,3,left,left,True,21,21
1,16,2,right,left,False,21,20
1,16,3,right,left,False,22,20
1,17,2,right,right,True,22,21
1,17,3,left,left,True,22,21
1,18,2,left,left,True,22,21
1,18,3,left,left,True,21,21
1,19,2,left,left,True,21,21
1,19,3,right,left,False,21,21
1,20,2,right,right,True,21,22
1,20,3,right,left,False,20,22
1,21,2,right,left,False,20,23
1,21,3,left,left,True,21,23
1,22,2,left,left,True,21,23
1,22,3,left,left,True,21,23
1,23,2,left,left,True,21,23
1,23,3,right,right,True,20,23
1,24,2,left,left,True,20,22
1,24,3,left,left,True,20,22
1,25,2,left,left,True,20,22
1,25,3,right,right,True,19,22
2,1,2,left,left,True,19,22
2,1,3,right,right,True,19,22
2,2,2,left,right,False,19,22
2,2,3,left,right,False,20,22
2,3,2,right,left,False,20,23
2,3,3,right,left,False,21,23
2,4,2,right,right,True,21,24
2,4,3,right,right,True,21,24
2,5,2,right,right,True,21,24
2,5,3,right,right,True,20,24
2,6,2,right,right,True,20,24
2,6,3,right,right,True,20,24
2,7,2,left,right,False,20,23
2,7,3,right,right,True,21,23
2,8,2,right,right,True,21,23
2,8,3,right,right,True,21,23
2,9,2,right,left,False,21,23
2,9,3,right,right,True,22,23
2,10,2,left,left,True,22,22
2,10,3,right,right,True,22,22
2,11,2,right,right,True,22,22
2,11,3,left,left,True,21,22
2,12,2,right,right,True,21,22
2,12,3,right,right,True,21,22
2,13,2,right,left,False,21,21
2,13,3,left,left,True,22,21
2,14,2,right,left,False,22,21
2,14,3,right,right,True,23,21
2,15,2,left,left,True,23,21
2,15,3,right,left,False,23,21
2,16,2,right,right,True,23,22
2,16,3,right,right,True,22,22
2,17,2,right,right,True,22,22
2,17,3,left,right,False,22,22
2,18,2,right,right,True,22,23
2,18,3,left,left,True,21,23
2,19,2,right,right,True,21,23
2,19,3,right,right,True,21,23
2,20,2,right,right,True,21,23
2,20,3,right,right,True,20,23
2,21,2,left,left,True,20,22
2,21,3,left,left,True,20,22
2,22,2,left,left,True,20,22
2,22,3,left,left,True,19,22
2,23,2,right,right,True,19,22
2,23,3,left,left,True,19,22
2,24,2,right,left,False,19,21
2,24,3,right,left,False,20,21
2,25,2,right,right,True,20,22
2,25,3,left,left,True,20,22
3,1,2,right,left,False,20,22
3,1,3,right,right,True,21,22
3,2,2,right,left,False,21,22
3,2,3,left,left,True,22,22
3,3,2,left,left,True,22,22
3,3,3,left,left,True,22,22
3,4,2,left,left,True,22,21
3,4,3,left,left,True,21,21
3,5,2,left,left,True,21,21
3,5,3,right,right,True,21,21
3,6,2,right,left,False,21,21
3,6,3,left,left,True,22,21
3,7,2,right,right,True,22,20
3,7,3,left,left,True,22,20
3,8,2,right,right,True,22,20
3,8,3,right,left,False,21,20
3,9,2,left,right,False,21,21
3,9,3,right,left,False,22,21
3,10,2,left,left,True,22,22
3,10,3,left,left,True,22,22
3,11,2,right,right,True,22,22
3,11,3,right,right,True,21,22
3,12,2,right,right,True,21,22
3,12,3,right,right,True,21,22
3,13,2,right,right,True,21,21
3,13,3,right,right,True,20,21
3,14,2,right,right,True,20,21
3,14,3,left,left,True,20,21
3,15,2,left,left,True,20,21
3,15,3,left,right,False,19,21
3,16,2,right,left,False,19,22
3,16,3,right,right,True,20,22
3,17,2,left,left,True,20,22
3,17,3,left,left,True,20,22
3,18,2,left,left,True,20,22
3,18,3,left,left,True,19,22
3,19,2,left,left,True,19,21
3,19,3,right,right,True,19,21
3,20,2,left,right,False,19,21
3,20,3,left,right,False,20,21
3,21,2,right,right,True,20,22
3,21,3,left,right,False,20,22
3,22,2,left,left,True,20,23
3,22,3,left,right,False,19,23
3,23,2,right,right,True,19,24
3,23,3,left,left,True,19,24
3,24,2,left,left,True,19,24
